lat,lon,cod_ibge
-6.08752131909509,-35.9269980103462,241370
-5.14551381198382,-35.8731045059685,240950
-9.64219199962736,-35.808710159078,270220
-6.79028138436093,-35.4958866677295,251180
-6.90344184905035,-35.5220281293792,250520
-22.7284812411895,-52.8981562615749,411130
-6.03655140322967,-35.4347835769985,241480
-6.55202104154602,-35.428535432076,250855
-6.25529757465104,-35.3397855251724,240615
-6.24115621807775,-35.0996478145274,241420
-6.74703779845607,-35.0055156295248,250905
-17.3058290599847,-48.3963095938242,521580
-10.9546823553991,-40.1216332635134,292525
-27.0515323064768,-52.8694049091677,421315
-12.6732896113463,-38.9985316915139,292900
-0.8934917128117,-59.0294973280108,130430
-11.4704505897124,-61.8794545063652,110090
-21.3955748196892,-48.2258554043939,351860
-20.339484209591,-47.5735433220008,352540
-5.59790457581201,-47.2998088319256,210375
-16.2882612174538,-49.1029665788776,520485
-3.75839589108737,-44.4759335618029,210663
-7.53412098672745,-41.0952522368361,220605
-10.5900406027477,-40.3594389600484,290180
-7.08700738854504,-35.8514078394419,251510
-5.08895628440801,-45.0981713476145,211163
-12.7902897172221,-41.7985714943887,290400
-2.06117931733106,-45.8177229166683,210467
-7.09760429148661,-36.8390972691025,251300
-8.00957981270732,-38.070456235256,260340
-9.2072318399419,-38.2135596965705,260805
-4.71346155238426,-42.5244898105133,220550
-5.66793533503973,-44.0291385198114,210420
-23.4611422503862,-46.3335278281802,352310
-9.50545736255526,-36.0735873909087,270040
-20.4583845002649,-41.8649792507618,310205
-13.452988901951,-39.8945181218562,291670
-7.68069421780021,-36.1384546034918,251278
-6.38429686645391,-35.6259869043332,240620
-10.6925594403589,-36.9706870445649,280250
-29.5470589138244,-51.4854182137613,431861
-10.148529257798,-37.001501767811,280110
-9.62039992398696,-36.4954772288342,270910
-20.6479877925943,-49.402857982242,352115
-21.2107877740678,-42.8413509449681,315630
-11.4758138898558,-38.9551369378643,293150
-13.4744317607654,-60.6391919132779,110003
-6.28352959491526,-35.3955182571661,240920
-7.74656732667195,-40.3026804195232,261560
-7.74531261714071,-34.9068377646314,260775
-6.42826629110085,-35.7184947912921,241330
-10.2888821941205,-36.3390394924308,270270
-5.37751249041431,-35.3998668159706,240895
-6.45070250380571,-38.2838753009885,240860
-22.7030340409975,-51.9023639776103,412360
-19.8743720529536,-42.1238293041829,315935
-7.29538222310831,-43.9274754526529,220560
-7.87681909698992,-42.4732701568469,221090
-5.52412362266725,-36.0791840688114,240960
-7.28398239699097,-37.3585515729269,250939
-12.1242758208964,-38.6402991653132,292410
-28.5981622457856,-49.3337183221569,420425
-12.7858980580738,-57.219523056395,510890
-9.33750806063491,-36.8641753198221,270530
-9.70597909712334,-37.1005813642753,270070
-26.4453328086705,-48.6530711765661,420205
-5.13340574335008,-48.369080624005,211153
-28.8634893025878,-49.456008035978,421040
-8.37548012384764,-65.8117969619172,130240
-12.3890354265154,-38.5982425188121,293170
-6.59928585089437,-47.6421604180901,171380
-6.99714435810403,-46.6244365471587,210407
-11.8301291547928,-38.7238504769393,290040
