lat,lon,terrai_cod,terrai_nom
-26.2980398430729,-48.6626137294555,29401,Morro Alto
-14.1085440450366,-59.5442589488359,43801,Taihantesu
-16.9207928306833,-39.2783725468077,501,Águas Belas
-23.174118737758,-55.2041813186542,801,Aldeia Limão Verde
-6.11682465186679,-47.6213301224903,2401,Apinayé
-3.36722604891728,-59.3418940090121,2501,Apipica
-23.7911717263579,-50.9294241504663,2601,Apucarana
-7.55662356286153,-66.0224073079647,52601,Apurinã do Igarapé Mucuim
-28.1815461226501,-48.7997175463791,7501,Cachoeira dos Inácios
-4.33318843799487,-54.1670094551535,7601,Cachoeira Seca
-16.4634083995171,-39.1031727568295,901,Aldeia Velha
-2.33069386978874,-46.7225836248486,1001,Alto Rio Guamá
0.575336545724067,-68.5219911901271,1101,Alto Rio Negro
-9.29639767280007,-70.0836343933724,1201,Alto Rio Purus
-8.01733334626225,-66.3410258738965,1301,Alto Sepatini
-9.60310322212266,-71.9084666581867,1401,Alto Tarauacá
-23.0694905030661,-55.1869497361742,1601,Amambai
-2.85836466484606,-49.3027591468134,1801,Anambé
-10.269896004104,-65.0896030320176,16301,Igarapé Ribeirão
-20.188326227703,-56.2758743187629,7701,Cachoeirinha
3.90212277921629,-61.4160265998113,1901,Ananás
-3.70706590611729,-38.7270235901857,73714,Taba dos Anacé
-9.1015963773983,-38.1845514830854,11301,Entre Serras
-11.2659892770872,-58.2681144192078,11401,Erikpatsá
3.4610212990799,-61.4029520146762,2101,Aningal
-10.5268774234718,-65.0242433908419,16101,Igarapé Lage
-13.728676652973,-59.9395969231038,48601,Vale do Guaporé
-7.47590061359957,-67.1694929733598,401,Água Preta/Inari
-9.08467705996169,-72.8765671037243,51801,Arara do Rio Amonia
-3.74015526232553,-56.9245078106792,2001,Andirá-Marau
-4.75422786789478,-60.029119004655,3701,Arary
-22.2731097411784,-49.3547969030603,3501,Araribá
-8.29506361755064,-38.8180694691611,4501,Atikum
-25.2390955281442,-54.3152574798833,4701,Avá-Guarani do Ocoí
-3.33406018788815,-46.4627009690547,4801,Awa
-5.88443235828353,-45.7949607024612,4901,Bacurizinho
-5.90964801974423,-45.8215095135463,4902,Bacurizinho
-4.95780655717827,-52.4492649046553,3801,Araweté Igarapé Ipixuna
-14.3890879296397,-51.9616549596362,3901,Areões
-10.5736928007496,-59.972021423463,4201,Aripuanã
-14.9836567965397,-44.2137733905882,49902,Xacriabá
-12.6245402949728,-60.6353111380236,46701,Tubarão Latunde
-9.51072407565106,-58.6456815435586,11501,Escondido
-24.2383499812888,-50.9668350332445,37501,Queimadas
-10.0523384210562,-36.9259190632674,601,Aconã
-14.1379348819287,-56.9225493034681,11801,Estação Parecis
-26.4132857186184,-48.6900033736047,44301,Pindoty
-26.4615771752137,-48.7029970174979,59101,Tarumã
-23.6617954775964,-50.8776391218317,5501,Barão de Antonina
-2.31606611378573,-55.163161880568,59401,Cobra Grande
-23.7117404920439,-55.2798717497324,4401,Arroio-Korá
0.422984274823665,-66.6237586398328,5301,Balaio
-6.76310208058523,-64.9127608746805,5402,Banawá
-23.3535785318451,-44.9819994895129,6301,Boa Vista Sertão do Promirim
-9.33951684507168,-38.5471523934238,6901,Brejo do Burgo
-22.5969738294358,-54.9645607519974,7201,Caarapó
-7.43044244100032,-69.9085152008855,7401,Cacau do Tarauaca
-5.49734848138136,-46.6567867500635,13601,Governador
-27.8248723061746,-51.6280953308932,7801,Cacique Doble
-9.81812289623317,-37.3866583941575,7901,Caiçara/Ilha de São Pedro
3.76354713903213,-61.3138378879628,8201,Cajueiro
-15.1092332445805,-50.0399928279378,9401,Carretão I
-7.7953139489665,-72.1806159917268,8601,Campinas/Katukina
-15.054822333832,-50.0181163227718,9501,Carretão III
-15.054822333832,-50.0181163227718,9501,Carretão II
2.7783853514647,-60.5044073523129,8801,Canauanim
-30.1907570577662,-51.023539270532,8901,Cantagalo
-30.3584773010028,-50.3548788528957,9101,Capivari
-10.2092371795154,-53.1492846190857,9201,Capoto/Jarina
-15.3406078084879,-39.7029847110822,9301,Caramuru/Paraguassu
-28.1946479789729,-52.0131725780998,9601,Carreteiro
-23.5900152728209,-54.2875861470219,9901,Cerrito
-14.5936634540946,-53.2244606110346,10001,Chão Preto
-16.3520370301488,-39.050587757875,10301,Coroa Vermelha
-2.36854565152198,-65.0267107799797,10701,Cuiu-Cuiu
-4.4970091825077,-60.441309125814,10801,Cunhã-Sapucaia
-2.84668837432945,-66.8587170043233,12001,Estrela da Paz
-24.6478729025036,-51.2720759725656,12301,Faxinal
-9.39373005196038,-36.5848690077955,12501,Fazenda Canto
-3.79319563418279,-69.2730193365952,12201,Évare II
-19.0381744673042,-43.119541442459,12701,Fazenda Guarani
-3.42583059280916,-59.4820686182948,13401,Gavião
-22.8530555315645,-55.2016036541884,13701,Guaimbé
-16.6550892477372,-39.158964365204,16803,Imbiriba
-7.72860485375364,-66.8558690572011,13801,Guajahã
-23.3100258838131,-44.7750708917664,14001,Guarani Araponga
-29.6774529165816,-50.294758071598,14101,Guarani Barra do Ouro
-3.08713080534501,-64.8732417611892,18701,Jaquiri
-22.8792828656527,-44.3844267964544,14401,Guarani de Bracui
-24.0463145931108,-46.6516309514643,14501,Guarani do Aguapeu
-26.8689574754967,-53.1125722182567,14601,Guarani de Araçai
-23.0737239149046,-55.5011720001111,14901,Guasuti
-23.4648357937503,-46.7546693751025,18801,Jaraguá
-22.5265417111192,-54.6243495297349,15101,Guyraroká
-3.2256218420382,-64.8733581759556,15801,Igarapé Grande
-30.33927818828,-53.1972233402471,17401,Irapuá
4.03325882873427,-51.5856382265841,19701,Jumina
-23.7214494267785,-54.9532910580299,18101,Jaguapiré
-23.460776784495,-46.7715517605421,18802,Jaraguá
-22.924364698018,-54.6082796195212,18901,Jarara
-9.27115025608986,-70.9747466041262,23901,Kulina Igarapé do Pau
